frame,timestamp,camera,class,local_id,confidence,x1,y1,x2,y2
17,0.57,FL,player,7,0.6,317,407,410,572
17,0.57,FL,player,8,0.71,612,386,657,531
17,0.57,FL,player,9,0.73,515,392,584,567
17,0.57,FL,player,10,0.67,573,395,629,554
18,0.6,FL,player,3,0.88,1460,379,1547,549
18,0.6,FL,player,5,0.81,462,392,519,558
18,0.6,FL,player,7,0.63,314,416,402,572
18,0.6,FL,player,8,0.72,612,386,657,531
18,0.6,FL,player,9,0.7,513,392,582,567
18,0.6,FL,player,10,0.66,573,395,629,554
19,0.63,FL,player,3,0.88,1461,380,1549,551
19,0.63,FL,player,5,0.81,462,392,520,558
19,0.63,FL,player,7,0.62,310,421,395,573
19,0.63,FL,player,8,0.72,612,386,657,532
19,0.63,FL,player,9,0.72,511,389,582,567
19,0.63,FL,player,10,0.67,573,395,629,554
20,0.67,FL,player,3,0.88,1461,380,1550,553
20,0.67,FL,player,5,0.8,462,392,520,558
20,0.67,FL,player,7,0.69,305,422,388,573
20,0.67,FL,player,8,0.73,612,386,657,532
20,0.67,FL,player,9,0.71,511,387,582,567
20,0.67,FL,player,10,0.67,573,394,630,554
21,0.7,FL,player,3,0.88,1461,381,1550,554
21,0.7,FL,player,5,0.79,462,392,521,558
21,0.7,FL,player,7,0.74,301,422,384,573
21,0.7,FL,player,8,0.73,611,385,657,532
21,0.7,FL,player,9,0.71,511,384,584,566
21,0.7,FL,player,10,0.67,573,394,630,554
22,0.73,FL,player,3,0.87,1461,383,1551,555
22,0.73,FL,player,5,0.79,462,392,521,558
22,0.73,FL,player,7,0.72,300,423,382,572
22,0.73,FL,player,8,0.74,611,385,657,532
22,0.73,FL,player,9,0.73,513,382,585,566
22,0.73,FL,player,10,0.68,573,393,630,555
22,0.73,FL,player,24,0.49,323,364,389,522
23,0.77,FL,player,3,0.87,1463,385,1552,555
23,0.77,FL,player,5,0.77,462,392,521,558
23,0.77,FL,player,7,0.7,299,424,380,573
23,0.77,FL,player,8,0.75,611,385,656,532
23,0.77,FL,player,9,0.72,512,380,585,566
23,0.77,FL,player,10,0.66,572,392,629,555
23,0.77,FL,player,24,0.53,323,364,390,522
24,0.8,FL,player,3,0.88,1465,387,1553,555
24,0.8,FL,player,5,0.77,462,392,521,558
24,0.8,FL,player,7,0.74,298,424,380,573
24,0.8,FL,player,8,0.76,610,384,656,533
24,0.8,FL,player,9,0.7,512,379,586,567
24,0.8,FL,player,10,0.66,572,391,629,555
24,0.8,FL,player,24,0.52,323,364,390,522
25,0.83,FL,player,3,0.86,1467,388,1556,554
25,0.83,FL,player,5,0.81,462,392,520,558
25,0.83,FL,player,7,0.73,296,422,379,574
25,0.83,FL,player,8,0.75,610,384,656,533
25,0.83,FL,player,9,0.74,513,381,586,567
25,0.83,FL,player,10,0.67,572,390,629,554
25,0.83,FL,player,24,0.5,322,364,389,521
26,0.87,FL,player,3,0.84,1471,388,1558,553
26,0.87,FL,player,5,0.81,462,392,521,558
26,0.87,FL,player,7,0.76,294,424,377,575
26,0.87,FL,player,8,0.74,609,384,655,533
26,0.87,FL,player,9,0.75,513,379,586,568
26,0.87,FL,player,10,0.69,573,390,630,554
26,0.87,FL,player,24,0.52,322,364,388,520
27,0.9,FL,player,3,0.85,1475,388,1561,552
27,0.9,FL,player,5,0.79,463,392,521,558
27,0.9,FL,player,7,0.77,292,427,376,576
27,0.9,FL,player,8,0.75,609,384,654,532
27,0.9,FL,player,9,0.76,511,379,585,569
27,0.9,FL,player,10,0.69,574,390,630,555
28,0.93,FL,player,3,0.83,1480,388,1564,551
28,0.93,FL,player,5,0.79,463,392,521,558
28,0.93,FL,player,7,0.77,289,429,374,576
28,0.93,FL,player,8,0.74,608,384,653,531
28,0.93,FL,player,9,0.77,511,378,585,571
28,0.93,FL,player,10,0.69,573,388,630,554
29,0.97,FL,player,3,0.82,1485,388,1568,551
29,0.97,FL,player,5,0.79,464,392,522,558
29,0.97,FL,player,7,0.8,285,429,373,577
29,0.97,FL,player,8,0.73,609,385,654,531
29,0.97,FL,player,9,0.76,511,379,585,571
29,0.97,FL,player,10,0.67,572,388,629,554
30,1.0,FL,player,3,0.83,1489,389,1571,551
30,1.0,FL,player,5,0.77,463,393,521,559
30,1.0,FL,player,7,0.69,282,428,371,577
30,1.0,FL,player,8,0.73,609,385,654,533
30,1.0,FL,player,9,0.74,511,385,583,572
30,1.0,FL,player,10,0.65,571,389,628,555
31,1.03,FL,player,2,0.88,211,521,348,751
