frame,timestamp,camera,class,local_id,confidence,x1,y1,x2,y2
4,0.13,NL,player,4,0.72,112,340,316,554
4,0.13,NL,player,5,0.73,470,0,540,103
4,0.13,NL,player,6,0.65,224,72,316,236
4,0.13,NL,player,7,0.78,90,418,300,647
4,0.13,NL,player,8,0.63,582,0,649,82
5,0.17,NL,player,1,0.75,693,503,869,710
5,0.17,NL,player,2,0.79,1585,0,1746,227
5,0.17,NL,player,3,0.83,306,95,402,259
5,0.17,NL,player,4,0.73,109,343,318,561
5,0.17,NL,player,5,0.75,470,0,542,104
5,0.17,NL,player,6,0.64,224,69,317,236
5,0.17,NL,player,7,0.73,94,421,298,643
5,0.17,NL,player,8,0.64,583,0,649,81
6,0.2,NL,player,2,0.8,1585,0,1746,227
6,0.2,NL,player,3,0.82,309,94,406,259
6,0.2,NL,player,4,0.7,108,345,315,561
6,0.2,NL,player,5,0.76,469,0,541,105
6,0.2,NL,player,6,0.63,224,69,317,236
6,0.2,NL,player,7,0.79,99,429,295,641
6,0.2,NL,player,8,0.61,582,0,648,80
7,0.23,NL,player,2,0.78,1585,0,1746,227
7,0.23,NL,player,3,0.83,313,94,412,260
7,0.23,NL,player,4,0.75,108,347,314,561
7,0.23,NL,player,5,0.76,468,0,541,105
7,0.23,NL,player,6,0.62,224,69,318,236
7,0.23,NL,player,7,0.76,98,430,294,640
7,0.23,NL,player,8,0.58,581,0,647,80
8,0.27,NL,player,2,0.78,1585,0,1746,227
8,0.27,NL,player,3,0.82,316,93,417,259
8,0.27,NL,player,4,0.71,108,348,314,562
8,0.27,NL,player,5,0.7,468,0,540,106
8,0.27,NL,player,6,0.62,224,70,317,237
8,0.27,NL,player,7,0.79,99,433,293,639
8,0.27,NL,player,8,0.52,580,0,647,80
9,0.3,NL,player,2,0.78,1585,0,1746,227
9,0.3,NL,player,3,0.8,320,92,423,259
9,0.3,NL,player,4,0.7,109,347,316,562
9,0.3,NL,player,5,0.72,466,0,539,107
9,0.3,NL,player,6,0.61,224,70,318,237
9,0.3,NL,player,7,0.79,97,433,292,639
9,0.3,NL,player,8,0.48,582,0,648,79
10,0.33,NL,player,2,0.78,1585,0,1746,227
10,0.33,NL,player,3,0.76,326,93,430,259
10,0.33,NL,player,4,0.6,113,348,317,559
10,0.33,NL,player,5,0.74,463,0,537,107
10,0.33,NL,player,6,0.61,224,69,318,237
10,0.33,NL,player,7,0.78,80,432,281,641
11,0.37,NL,player,2,0.79,1585,0,1746,227
11,0.37,NL,player,3,0.74,330,92,435,260
11,0.37,NL,player,4,0.58,114,348,317,557
11,0.37,NL,player,5,0.74,462,0,535,107
11,0.37,NL,player,6,0.6,224,69,318,237
11,0.37,NL,player,7,0.75,71,428,279,641
12,0.4,NL,player,2,0.79,1585,0,1746,227
12,0.4,NL,player,3,0.77,326,92,435,259
12,0.4,NL,player,4,0.55,113,347,317,559
12,0.4,NL,player,5,0.76,460,1,533,106
12,0.4,NL,player,6,0.6,224,70,317,237
12,0.4,NL,player,7,0.7,67,422,284,642
12,0.4,NL,player,8,0.49,585,0,650,79
13,0.43,NL,player,2,0.79,1585,0,1746,227
13,0.43,NL,player,3,0.77,327,91,439,260
13,0.43,NL,player,4,0.57,108,346,315,561
13,0.43,NL,player,5,0.68,457,1,530,107
13,0.43,NL,player,6,0.64,224,69,317,237
13,0.43,NL,player,7,0.77,51,399,290,642
13,0.43,NL,player,8,0.51,586,0,651,79
13,0.43,NL,player,10,0.49,549,0,599,79
14,0.47,NL,player,2,0.79,1585,0,1746,227
14,0.47,NL,player,3,0.78,324,90,438,259
14,0.47,NL,player,4,0.45,106,345,316,563
14,0.47,NL,player,5,0.69,455,1,528,106
14,0.47,NL,player,6,0.64,225,68,318,236
14,0.47,NL,player,7,0.75,42,390,290,642
14,0.47,NL,player,8,0.52,587,0,652,78
14,0.47,NL,player,10,0.51,549,0,599,78
15,0.5,NL,player,2,0.8,1585,0,1746,227
15,0.5,NL,player,3,0.69,323,89,440,258
15,0.5,NL,player,4,0.47,109,331,331,565
15,0.5,NL,player,5,0.61,450,0,525,107
15,0.5,NL,player,6,0.67,225,68,318,235
15,0.5,NL,player,7,0.83,37,385,290,643
15,0.5,NL,player,8,0.52,588,0,653,78
15,0.5,NL,player,10,0.52,549,0,599,78
15,0.5,NL,player,9,0.54,1425,0,1480,76
16,0.53,NL,player,2,0.81,1585,0,1746,227
16,0.53,NL,player,3,0.71,329,87,447,257
16,0.53,NL,player,5,0.47,447,0,521,108
16,0.53,NL,player,6,0.68,225,68,318,235
16,0.53,NL,player,7,0.83,37,389,286,643
16,0.53,NL,player,8,0.52,591,0,654,77
16,0.53,NL,player,10,0.53,549,0,600,78
16,0.53,NL,player,9,0.56,1425,0,1481,76
16,0.53,NL,player,1,0.66,870,518,1053,754
17,0.57,NL,player,2,0.81,1585,0,1746,227
17,0.57,NL,player,3,0.71,324,87,444,258
17,0.57,NL,player,5,0.49,444,0,518,108
17,0.57,NL,player,6,0.69,225,67,319,235
