camera,frame,timestamp_sec,track_id,x1,y1,x2,y2,conf
NR,2,0.07,5470,1573.33349609375,129.83580017089844,1664.4127197265625,307.90655517578125,0.8087170124053955
NR,2,0.07,5472,1348.5230712890625,2.2589380741119385,1401.5882568359375,142.43209838867188,0.5976822376251221
NR,2,0.07,5473,1710.4097900390625,216.695068359375,1868.055419921875,378.3389892578125,0.5995272397994995
NR,2,0.07,5474,1381.37939453125,1.516447901725769,1442.5665283203125,145.88311767578125,0.5987100005149841
NR,2,0.07,5475,1591.205078125,410.5945739746094,1842.5267333984375,739.5689086914062,0.7394195795059204
NR,2,0.07,5476,176.96209716796875,8.735103607177734,337.6893310546875,275.76141357421875,0.492912620306015
NR,2,0.07,5477,1094.843017578125,1.4079232215881348,1140.8206787109375,94.35574340820312,0.5325375199317932
NR,2,0.07,5478,1207.2786865234375,3.4906668663024902,1259.7366943359375,90.74442291259766,0.5379170179367065
NR,2,0.07,5479,1307.5916748046875,1.391005516052246,1357.708251953125,123.9694595336914,0.4738309383392334
NR,2,0.07,5480,1716.929443359375,457.9417724609375,1918.9361572265625,693.5789184570312,0.48985618352890015
NR,2,0.07,5481,307.3017883300781,3.824078321456909,458.3032531738281,163.41334533691406,0.40713346004486084
NR,3,0.1,5470,1568.526123046875,131.82635498046875,1660.9029541015625,308.4244384765625,0.8095314502716064
NR,3,0.1,5472,1348.6041259765625,2.274254083633423,1401.566162109375,142.52183532714844,0.6092773079872131
NR,3,0.1,5473,1710.3668212890625,217.08367919921875,1867.7724609375,377.8379211425781,0.5886803865432739
NR,3,0.1,5474,1381.6800537109375,1.577624797821045,1442.4385986328125,145.79721069335938,0.6071174740791321
NR,3,0.1,5475,1591.05615234375,410.8147277832031,1836.1693115234375,740.6507568359375,0.7087581753730774
NR,3,0.1,5476,177.05679321289062,8.741153717041016,337.5771789550781,275.5059509277344,0.5320273637771606
NR,3,0.1,5477,1088.3077392578125,2.2368671894073486,1139.41552734375,93.0537109375,0.4406871795654297
NR,3,0.1,5478,1208.61572265625,2.615847587585449,1263.1102294921875,93.34740447998047,0.6062625646591187
NR,3,0.1,5479,1307.580810546875,1.8821446895599365,1356.490966796875,126.4537353515625,0.49953556060791016
NR,3,0.1,5480,1719.3447265625,456.80975341796875,1918.9833984375,692.9246215820312,0.5522217154502869
NR,3,0.1,5481,300.6149597167969,5.421904563903809,459.3517150878906,164.17449951171875,0.4173368811607361
NR,4,0.13,5470,1566.7655029296875,129.3600311279297,1659.981201171875,309.2134704589844,0.8046894073486328
NR,4,0.13,5472,1348.3050537109375,2.3627984523773193,1401.498046875,142.6923370361328,0.5973800420761108
NR,4,0.13,5473,1710.4154052734375,217.0782928466797,1867.572021484375,377.3260803222656,0.5602208971977234
NR,4,0.13,5474,1381.959228515625,1.7158392667770386,1442.36083984375,145.75564575195312,0.6016560196876526
NR,4,0.13,5475,1591.52978515625,409.92108154296875,1833.7568359375,740.459228515625,0.7556667327880859
NR,4,0.13,5476,177.118408203125,8.729072570800781,337.6507263183594,275.2127685546875,0.5254175662994385
NR,4,0.13,5477,1081.94091796875,2.8035449981689453,1137.2198486328125,91.4621353149414,0.48394909501075745
NR,4,0.13,5478,1208.56982421875,3.1073622703552246,1267.1912841796875,94.47940063476562,0.5694608092308044
NR,4,0.13,5479,1307.2576904296875,2.1999709606170654,1356.0625,127.30181121826172,0.4852466285228729
NR,4,0.13,5480,1714.5078125,456.97900390625,1918.8946533203125,702.6689453125,0.3167259097099304
NR,4,0.13,5481,304.9434509277344,4.187844276428223,458.6438293457031,164.1156463623047,0.42617300152778625
NR,5,0.17,5470,1566.512939453125,128.96522521972656,1659.4744873046875,309.1484069824219,0.7763465642929077
NR,5,0.17,5472,1347.916015625,2.5284245014190674,1401.2813720703125,142.28196716308594,0.6002402305603027
NR,5,0.17,5473,1710.3026123046875,215.37684631347656,1867.4495849609375,377.26214599609375,0.5494239926338196
NR,5,0.17,5474,1382.291748046875,1.8959325551986694,1442.2457275390625,145.56809997558594,0.6081440448760986
NR,5,0.17,5475,1591.6639404296875,408.6645812988281,1837.9146728515625,741.0237426757812,0.7382203936576843
NR,5,0.17,5476,177.0277862548828,8.685758590698242,337.7115478515625,275.0627746582031,0.5193626284599304
NR,5,0.17,5477,1077.0709228515625,0.8904219269752502,1133.932861328125,94.73355102539062,0.5857748985290527
NR,5,0.17,5478,1210.91796875,2.821417808532715,1270.8770751953125,95.66228485107422,0.4923172891139984
