camera,frame,timestamp_sec,track_id,x1,y1,x2,y2,conf
FR,1,0.03,1,1772.050537109375,580.6201171875,1912.56787109375,816.09326171875,0.8206910490989685
FR,1,0.03,2,1115.409912109375,477.8287353515625,1189.66064453125,607.378662109375,0.7963374853134155
FR,1,0.03,3,114.75203704833984,413.42626953125,336.3174133300781,730.13037109375,0.7670834064483643
FR,1,0.03,4,1438.63671875,464.51800537109375,1491.9951171875,633.9436645507812,0.6613529324531555
FR,1,0.03,5,486.2371520996094,380.31915283203125,741.5848388671875,544.2805786132812,0.652237594127655
FR,1,0.03,6,1289.7548828125,457.58709716796875,1352.03466796875,601.6553344726562,0.621284008026123
FR,1,0.03,8,1244.1455078125,429.6494140625,1285.89306640625,549.7799682617188,0.5649686455726624
FR,1,0.03,9,1385.1640625,475.4631042480469,1437.04443359375,625.32373046875,0.5272052884101868
FR,1,0.03,10,1400.085693359375,476.8489685058594,1443.174560546875,626.3052978515625,0.3115621507167816
FR,2,0.07,1,1764.2532958984375,579.6298217773438,1907.860107421875,815.7948608398438,0.7451292276382446
FR,2,0.07,2,1108.2470703125,476.2390441894531,1189.9049072265625,608.1597900390625,0.8136895298957825
FR,2,0.07,3,114.84355926513672,413.4471740722656,335.3437805175781,730.0828857421875,0.7705318927764893
FR,2,0.07,4,1438.469970703125,463.68475341796875,1491.692626953125,634.5548095703125,0.6783754229545593
FR,2,0.07,5,486.4068298339844,380.7162170410156,741.93505859375,544.4484252929688,0.6593464612960815
FR,2,0.07,6,1301.406005859375,459.892333984375,1353.38232421875,601.4732055664062,0.6341232061386108
FR,2,0.07,8,1246.330078125,429.9794616699219,1286.8048095703125,548.6707153320312,0.6256032586097717
FR,2,0.07,9,1384.7493896484375,475.0777587890625,1437.663818359375,625.30859375,0.5435435175895691
FR,2,0.07,10,1398.8245849609375,476.588134765625,1443.2755126953125,626.4674682617188,0.3403252363204956
FR,3,0.1,1,1762.2308349609375,577.4974975585938,1906.106201171875,816.2236938476562,0.737474799156189
FR,3,0.1,2,1103.125,477.2064514160156,1188.0120849609375,609.9046630859375,0.8438862562179565
FR,3,0.1,3,114.68534088134766,413.4952087402344,335.3727111816406,730.3281860351562,0.77070552110672
FR,3,0.1,4,1438.0537109375,463.2220153808594,1491.4951171875,634.3834838867188,0.6697806715965271
FR,3,0.1,5,485.9781494140625,380.5888977050781,742.022705078125,544.55126953125,0.6697044372558594
FR,3,0.1,6,1309.3365478515625,460.32244873046875,1355.3892822265625,600.33740234375,0.6331624984741211
FR,3,0.1,8,1247.22607421875,432.4349060058594,1292.476318359375,548.2880859375,0.6436951160430908
FR,3,0.1,9,1384.494873046875,474.38458251953125,1438.0953369140625,625.4556274414062,0.5708656311035156
FR,3,0.1,10,1406.2303466796875,476.915771484375,1444.0592041015625,623.2503051757812,0.2477940022945404
FR,4,0.13,1,1750.049072265625,578.2534790039062,1901.66552734375,816.327392578125,0.7607623934745789
FR,4,0.13,2,1099.5252685546875,479.45123291015625,1175.12109375,610.2159423828125,0.7591120004653931
FR,4,0.13,3,115.17681121826172,413.5556335449219,335.7790832519531,729.9548950195312,0.765372633934021
FR,4,0.13,4,1436.7391357421875,463.2429504394531,1492.4859619140625,634.9751586914062,0.6907257437705994
FR,4,0.13,5,485.1298828125,380.44482421875,742.2470703125,544.5865478515625,0.6746950745582581
FR,4,0.13,6,1311.647216796875,461.7077331542969,1357.738037109375,599.744140625,0.5368881821632385
FR,4,0.13,8,1248.626220703125,433.7193298339844,1295.78369140625,548.6539306640625,0.6747080683708191
FR,4,0.13,9,1384.5408935546875,474.3460388183594,1437.7662353515625,625.8450317382812,0.586289644241333
FR,4,0.13,10,1408.9769287109375,477.2515563964844,1443.944580078125,621.7586669921875,0.2162020206451416
FR,5,0.17,1,1755.7393798828125,572.2442626953125,1893.1361083984375,816.2600708007812,0.7494611144065857
FR,5,0.17,2,1097.8726806640625,479.8696594238281,1160.24853515625,609.70849609375,0.7306435108184814
FR,5,0.17,3,114.92839050292969,413.5144348144531,335.6895446777344,730.3028564453125,0.7682612538337708
FR,5,0.17,4,1435.8377685546875,462.6568908691406,1492.8712158203125,635.3444213867188,0.6833358407020569
FR,5,0.17,5,484.38287353515625,380.73974609375,742.1400146484375,544.6136474609375,0.6732357144355774
FR,5,0.17,6,1316.4342041015625,464.1183166503906,1362.5516357421875,601.0341186523438,0.5928078293800354
FR,5,0.17,8,1248.2471923828125,433.56195068359375,1297.0928955078125,548.1491088867188,0.6622903943061829
FR,5,0.17,9,1384.5555419921875,474.00732421875,1437.8502197265625,625.652587890625,0.6040722131729126
FR,5,0.17,10,1409.4033203125,477.12835693359375,1443.4620361328125,621.154296875,0.1728343963623047
FR,6,0.2,1,1751.54443359375,572.3116455078125,1892.576416015625,814.9210815429688,0.7391443252563477
FR,6,0.2,2,1094.5028076171875,480.2226867675781,1160.7161865234375,608.8672485351562,0.7719938158988953
FR,6,0.2,3,114.51050567626953,412.7845764160156,336.3212890625,731.3421020507812,0.7940140962600708
FR,6,0.2,4,1435.640869140625,462.21844482421875,1493.257080078125,634.41357421875,0.689190685749054
FR,6,0.2,5,493.6773681640625,379.97662353515625,739.8211669921875,544.44091796875,0.6615757942199707
FR,6,0.2,6,1319.1597900390625,463.4324645996094,1364.9765625,604.1512451171875,0.70674729347229
FR,6,0.2,8,1247.6055908203125,434.0124206542969,1300.170654296875,548.2178344726562,0.68907630443573
