frame,timestamp,camera,class,local_id,confidence,x1,y1,x2,y2,global_id
5,0.17,FL,player,10,0.54,574,395,630,553,-1
6,0.2,FL,player,3,0.86,1466,376,1539,550,75
6,0.2,FL,player,5,0.78,461,394,517,560,59
6,0.2,FL,player,7,0.71,353,421,439,575,-1
6,0.2,FL,player,8,0.67,610,384,656,531,-1
6,0.2,FL,player,9,0.75,512,386,584,567,28
6,0.2,FL,player,10,0.57,574,395,630,554,-1
7,0.23,FL,player,3,0.87,1466,377,1539,549,75
7,0.23,FL,player,5,0.78,461,394,517,560,59
7,0.23,FL,player,7,0.61,353,425,438,575,-1
7,0.23,FL,player,8,0.67,610,385,656,531,-1
7,0.23,FL,player,9,0.77,512,388,584,567,28
7,0.23,FL,player,10,0.59,575,395,631,554,-1
8,0.27,FL,player,3,0.88,1465,376,1540,550,75
8,0.27,FL,player,5,0.79,461,393,517,560,59
8,0.27,FL,player,7,0.58,356,428,440,575,-1
8,0.27,FL,player,8,0.69,611,384,658,531,-1
8,0.27,FL,player,9,0.74,512,385,584,567,28
8,0.27,FL,player,10,0.63,575,395,631,555,-1
9,0.3,FL,player,3,0.88,1462,377,1538,551,75
9,0.3,FL,player,5,0.79,461,393,517,560,59
9,0.3,FL,player,7,0.61,355,425,442,575,-1
9,0.3,FL,player,8,0.69,611,385,656,531,-1
9,0.3,FL,player,9,0.75,512,383,584,567,28
9,0.3,FL,player,10,0.64,575,395,631,555,-1
10,0.33,FL,player,3,0.87,1458,377,1536,551,75
10,0.33,FL,player,5,0.79,461,393,518,560,59
10,0.33,FL,player,7,0.7,353,421,442,575,-1
10,0.33,FL,player,8,0.72,612,384,657,531,-1
10,0.33,FL,player,9,0.74,512,381,585,566,28
10,0.33,FL,player,10,0.66,574,396,631,555,-1
11,0.37,FL,player,3,0.88,1455,376,1535,551,75
11,0.37,FL,player,5,0.79,461,393,518,560,59
11,0.37,FL,player,7,0.74,348,418,439,575,-1
11,0.37,FL,player,8,0.71,612,384,657,531,-1
11,0.37,FL,player,9,0.74,513,385,584,566,28
11,0.37,FL,player,10,0.66,574,396,631,555,-1
12,0.4,FL,player,3,0.85,1451,376,1535,552,75
12,0.4,FL,player,5,0.8,461,393,517,560,59
12,0.4,FL,player,7,0.74,342,418,434,575,-1
12,0.4,FL,player,8,0.72,612,384,657,531,-1
12,0.4,FL,player,9,0.74,514,388,584,566,28
12,0.4,FL,player,10,0.69,574,395,630,555,-1
13,0.43,FL,player,3,0.79,1447,376,1533,552,75
13,0.43,FL,player,5,0.81,461,392,518,560,59
13,0.43,FL,player,7,0.78,339,418,430,574,-1
13,0.43,FL,player,8,0.73,612,385,657,531,-1
13,0.43,FL,player,9,0.74,514,388,583,566,28
13,0.43,FL,player,10,0.7,574,395,631,555,-1
14,0.47,FL,player,3,0.86,1454,377,1540,550,75
14,0.47,FL,player,5,0.81,461,392,518,560,59
14,0.47,FL,player,7,0.8,335,417,427,574,-1
14,0.47,FL,player,8,0.72,612,385,657,531,-1
14,0.47,FL,player,9,0.75,514,390,583,566,28
14,0.47,FL,player,10,0.69,574,395,630,555,-1
15,0.5,FL,player,3,0.87,1458,376,1543,548,75
15,0.5,FL,player,5,0.82,461,392,518,559,59
15,0.5,FL,player,7,0.74,331,418,421,573,-1
15,0.5,FL,player,8,0.71,612,385,657,531,-1
15,0.5,FL,player,9,0.77,515,391,584,566,28
15,0.5,FL,player,10,0.68,573,395,629,554,-1
16,0.53,FL,player,3,0.87,1459,376,1545,548,75
16,0.53,FL,player,5,0.81,461,392,518,559,59
16,0.53,FL,player,7,0.7,314,383,422,573,-1
16,0.53,FL,player,8,0.72,612,385,657,531,-1
16,0.53,FL,player,9,0.78,515,391,584,566,28
16,0.53,FL,player,10,0.7,573,395,630,555,-1
17,0.57,FL,player,3,0.87,1460,377,1546,549,75
17,0.57,FL,player,5,0.82,461,392,518,558,59
17,0.57,FL,player,7,0.6,317,407,410,572,-1
17,0.57,FL,player,8,0.71,612,386,657,531,-1
17,0.57,FL,player,9,0.73,515,392,584,567,28
17,0.57,FL,player,10,0.67,573,395,629,554,-1
18,0.6,FL,player,3,0.88,1460,379,1547,549,75
18,0.6,FL,player,5,0.81,462,392,519,558,59
18,0.6,FL,player,7,0.63,314,416,402,572,-1
18,0.6,FL,player,8,0.72,612,386,657,531,-1
18,0.6,FL,player,9,0.7,513,392,582,567,28
18,0.6,FL,player,10,0.66,573,395,629,554,-1
